Image Name,PSNR,SSIM
1.png,24.35668120163598,0.6854566459645456
10.png,24.09426545758167,0.6522826929767414
11.png,21.28333112214221,0.47863759587959015
12.png,23.847309391472077,0.7882471899407902
13.png,24.573575763742145,0.7460087593155849
14.png,24.30348525263511,0.8032684758378131
15.png,23.528448374282732,0.7100193916458664
16.png,21.573101566137378,0.7062921868240123
17.png,25.027157348446593,0.8817095367913087
18.png,25.64473025838637,0.8608468262052105
19.png,22.726531408745604,0.7161702287445301
2.png,24.96896966418998,0.8355817456630475
20.png,23.921542953911956,0.5829025687497923
21.png,22.870018044782213,0.6707718992828958
22.png,25.194362527980097,0.837309765121797
23.png,19.264552817729978,0.762069303445458
24.png,22.76555378971963,0.8316003032037126
25.png,22.61159048134003,0.7767860616324511
26.png,23.627962312722318,0.6916889985066673
27.png,25.866302201002483,0.9299035815268085
28.png,24.90077775972233,0.8040275743857362
29.png,23.308343357480354,0.7450308017069203
3.png,24.33992300710178,0.7779754229582049
30.png,17.365278901875758,0.24536950476308683
31.png,17.59757091210632,0.31965897809071636
32.png,16.651055532684758,0.5289257325160427
33.png,18.644497312547426,0.4604247241898442
34.png,16.745921795413906,0.4273469809930756
35.png,16.435379848613277,0.419196677725473
36.png,14.724836130750168,0.20459158888828324
37.png,18.614865208252795,0.4103297577107603
38.png,13.995377154953971,0.38557907980110784
39.png,14.837731503470806,0.4235985505905862
4.png,23.837737828064654,0.8644028461043919
40.png,15.754789760495457,0.393856685240372
5.png,22.37673672322537,0.6219529976156528
6.png,24.917955929340422,0.8555260028061608
7.png,25.397809278809056,0.82465322938525
8.png,21.76434506425139,0.7017411287155971
9.png,23.469291435967637,0.640464254927284
